"callsite_rva","iat_mem_rva","dll","import_name"
"0x0018E0F8","0x004301E8","KERNEL32.dll","GetProcAddress"
"0x0018E35F","0x004301E8","KERNEL32.dll","GetProcAddress"
"0x0018E602","0x004301E8","KERNEL32.dll","GetProcAddress"
"0x0018E859","0x004301E8","KERNEL32.dll","GetProcAddress"
"0x0018EB73","0x004301E8","KERNEL32.dll","GetProcAddress"
"0x0018ED85","0x004301E8","KERNEL32.dll","GetProcAddress"
"0x0018EF97","0x004301E8","KERNEL32.dll","GetProcAddress"
"0x0018F219","0x004301E8","KERNEL32.dll","GetProcAddress"
"0x0018F4E6","0x004301E8","KERNEL32.dll","GetProcAddress"
"0x0018F72B","0x004301E8","KERNEL32.dll","GetProcAddress"
"0x0018F97A","0x004301E8","KERNEL32.dll","GetProcAddress"
"0x0018FDF4","0x004301E8","KERNEL32.dll","GetProcAddress"
"0x00190085","0x004301E8","KERNEL32.dll","GetProcAddress"
"0x00190316","0x004301E8","KERNEL32.dll","GetProcAddress"
"0x001A3184","0x004301E8","KERNEL32.dll","GetProcAddress"
"0x001D1528","0x004301E8","KERNEL32.dll","GetProcAddress"
"0x001D16A5","0x004301E8","KERNEL32.dll","GetProcAddress"
"0x001D1874","0x004301E8","KERNEL32.dll","GetProcAddress"
"0x001D19F3","0x004301E8","KERNEL32.dll","GetProcAddress"
"0x001D1C60","0x004301E8","KERNEL32.dll","GetProcAddress"
"0x001D1E2E","0x004301E8","KERNEL32.dll","GetProcAddress"
"0x001D209A","0x004301E8","KERNEL32.dll","GetProcAddress"
"0x001D221A","0x004301E8","KERNEL32.dll","GetProcAddress"
"0x001D239A","0x004301E8","KERNEL32.dll","GetProcAddress"
"0x001D24E8","0x004301E8","KERNEL32.dll","GetProcAddress"
"0x001D2711","0x004301E8","KERNEL32.dll","GetProcAddress"
"0x001D2901","0x004301E8","KERNEL32.dll","GetProcAddress"
"0x001D2AA8","0x004301E8","KERNEL32.dll","GetProcAddress"
"0x001D2C81","0x004301E8","KERNEL32.dll","GetProcAddress"
"0x001D2E5E","0x004301E8","KERNEL32.dll","GetProcAddress"
"0x001D310A","0x004301E8","KERNEL32.dll","GetProcAddress"
"0x001D3301","0x004301E8","KERNEL32.dll","GetProcAddress"
"0x001D34ED","0x004301E8","KERNEL32.dll","GetProcAddress"
"0x001FE396","0x004301E8","KERNEL32.dll","GetProcAddress"
"0x002C20E1","0x004301E8","KERNEL32.dll","GetProcAddress"
"0x00338241","0x004301E8","KERNEL32.dll","GetProcAddress"
"0x00338254","0x004301E8","KERNEL32.dll","GetProcAddress"
"0x00338304","0x004301E8","KERNEL32.dll","GetProcAddress"
